company_code,news_id,sentiment_score,sentiment_level
MMM,215,-0.075671,Neutral
DOW,215,-0.075671,Neutral
DAL,215,-0.055804,Neutral
MSFT,215,-0.055804,Neutral
TSLA,215,0.078522,Neutral
INTC,215,-0.267580,Somewhat-Bearish
MSI,216,0.135321,Neutral
MMM,216,0.061235,Neutral
UNH,216,0.106213,Neutral
FICO,216,0.112580,Neutral
PLTR,216,0.089160,Neutral
PSA,216,0.061235,Neutral
MMM,217,0.172699,Somewhat-Bullish
HON,217,0.133963,Neutral
DHR,217,-0.022396,Neutral
PYPL,218,0.544101,Bullish
C,218,0.096852,Neutral
WFC,218,0.227495,Somewhat-Bullish
MMM,218,0.289282,Somewhat-Bullish
ECL,218,0.210492,Somewhat-Bullish
AON,219,0.315958,Somewhat-Bullish
MSFT,219,0.098844,Neutral
AMD,219,0.098998,Neutral
CL,219,0.516821,Bullish
MMM,219,0.274118,Somewhat-Bullish
COIN,219,0.155974,Somewhat-Bullish
DXCM,219,-0.291816,Somewhat-Bearish
BMY,219,0.258090,Somewhat-Bullish
MMM,220,0.138707,Neutral
AMT,221,0.060123,Neutral
ORCL,221,0.118108,Neutral
ICE,221,0.060123,Neutral
MMM,221,0.089061,Neutral
CBRE,221,0.089061,Neutral
WBD,222,-0.105895,Neutral
MMM,222,0.404932,Bullish
BMY,222,0.404932,Bullish
MCD,222,0.000000,Neutral
ON,222,0.000000,Neutral
GOOG,223,-0.312847,Somewhat-Bearish
TSLA,223,-0.150500,Somewhat-Bearish
F,223,-0.078343,Neutral
GM,223,-0.078343,Neutral
UPS,223,-0.078343,Neutral
MMM,223,-0.078343,Neutral
BMY,223,-0.078343,Neutral
BKR,224,0.211380,Somewhat-Bullish
MMM,224,0.187508,Somewhat-Bullish
DXCM,224,0.059340,Neutral
AON,225,0.000000,Neutral
CL,225,0.000000,Neutral
BEN,225,0.000000,Neutral
IVZ,225,0.218200,Somewhat-Bullish
MMM,225,0.000000,Neutral
BMY,225,0.000000,Neutral
MHK,225,0.000000,Neutral
DECK,225,0.000000,Neutral
CNC,225,0.000000,Neutral
CHTR,225,0.000000,Neutral
DXCM,225,0.000000,Neutral
VRSN,225,0.000000,Neutral
MMM,226,0.153023,Somewhat-Bullish
HON,226,0.128326,Neutral
DHR,226,-0.021757,Neutral
LW,227,0.391204,Bullish
MHK,227,0.000000,Neutral
NSC,227,0.330091,Somewhat-Bullish
AON,227,0.269065,Somewhat-Bullish
SWK,227,0.302359,Somewhat-Bullish
HIG,227,0.481852,Bullish
MMM,227,0.366259,Bullish
BMY,227,0.458562,Bullish
DECK,227,0.228830,Somewhat-Bullish
CNC,227,0.459675,Bullish
CHTR,227,0.369667,Bullish
MMM,228,0.429269,Bullish
META,229,0.029739,Neutral
NVDA,229,0.113095,Neutral
AAPL,229,0.029739,Neutral
AVGO,229,0.113095,Neutral
MU,229,0.113095,Neutral
CL,229,0.000000,Neutral
IVZ,229,0.210163,Somewhat-Bullish
MMM,229,0.000000,Neutral
COIN,229,0.384939,Bullish
BMY,229,0.000000,Neutral
MSFT,229,0.029739,Neutral
MHK,229,-0.097761,Neutral
DECK,229,-0.097761,Neutral
AMD,229,0.113095,Neutral
CHTR,229,0.000000,Neutral
AMZN,229,0.029739,Neutral
DXCM,229,-0.097761,Neutral
MSFT,230,0.134005,Neutral
META,230,0.134005,Neutral
NVDA,230,0.134005,Neutral
EW,230,0.034317,Neutral
F,230,0.034317,Neutral
WBD,230,-0.356683,Bearish
CHTR,230,0.000000,Neutral
